final_rank,shortlist_rank,candidate_name,feature_set_name,feature_family,model_name,model_family,temporal_cv_roc_auc_mean,temporal_cv_log_loss_mean,temporal_cv_brier_mean,temporal_cv_accuracy_mean,repeated_cv_split_count,repeated_cv_eval_count,stochastic_seed_count,repeated_cv_resolved_feature_count_mean,repeated_cv_resolved_feature_count_min,repeated_cv_resolved_feature_count_max,repeated_cv_roc_auc_mean,repeated_cv_roc_auc_std,repeated_cv_log_loss_mean,repeated_cv_brier_mean,repeated_cv_accuracy_mean,repeated_cv_seed_roc_auc_std_mean,holdout_roc_auc,holdout_log_loss,holdout_brier,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1,holdout_ece,holdout_tuned_objective,holdout_tuned_threshold,holdout_tuned_accuracy,holdout_tuned_precision,holdout_tuned_recall,holdout_tuned_f1,holdout_tuned_accuracy_gain
11,15,univariate_top_8__logreg_l2_c5.0_cwbalanced,univariate_top_8,univariate_top_k,logreg_l2_c5.0_cwbalanced,logreg_l2,0.652132226560314,0.6570723000796493,0.2324778548786063,0.6076273384610921,10,10,1,8.0,8,8,0.6502452512653123,0.012736175324958413,0.6548622308604808,0.23184238853385933,0.6031037405138873,0.0,0.6807050092764378,0.6403049417728641,0.22491698279098007,0.6224489795918368,0.5986394557823129,0.6285714285714286,0.6132404181184669,0.06023276321302962,accuracy,0.525,0.6326530612244898,0.6194029850746269,0.5928571428571429,0.6058394160583942,0.010204081632653073
12,14,univariate_top_8__logreg_l2_c10.0_cwbalanced,univariate_top_8,univariate_top_k,logreg_l2_c10.0_cwbalanced,logreg_l2,0.6521476644317854,0.657156504520859,0.2325146786672186,0.6087131147911681,10,10,1,8.0,8,8,0.650226761131582,0.012736291555234399,0.6548646885511016,0.23184373142357617,0.6027111984282908,0.0,0.6806586270871986,0.6403081965009062,0.2249177776588084,0.6224489795918368,0.5986394557823129,0.6285714285714286,0.6132404181184669,0.06025746104464935,accuracy,0.525,0.6326530612244898,0.6194029850746269,0.5928571428571429,0.6058394160583942,0.010204081632653073
13,12,univariate_top_8__logreg_l1_c0.3_cwnone,univariate_top_8,univariate_top_k,logreg_l1_c0.3_cwnone,logreg_l1,0.652677757585064,0.6555961632393784,0.2320094497030067,0.6096043718985559,10,10,1,8.0,8,8,0.6497136895699708,0.012537746624446067,0.6543461304478397,0.23158977172651354,0.608405177395123,0.0,0.6805194805194805,0.6403167932414242,0.2250006264563364,0.6258503401360545,0.6086956521739131,0.6,0.60431654676259,0.05213525710379102,accuracy,0.51,0.6258503401360545,0.6153846153846154,0.5714285714285714,0.5925925925925926,0.0
14,13,intersection_vote_top_11_min3__logreg_l2_c5.0_cwnone,intersection_vote_top_11_min3,intersection_vote_top_k,logreg_l2_c5.0_cwnone,logreg_l2,0.6522133732723336,0.6568994592654748,0.2324990133354862,0.6025357927429741,10,10,1,6.0,5,8,0.6487746311470628,0.016178916417199676,0.6544276307744967,0.23170389522781973,0.6076227897838901,0.0,0.6801484230055658,0.6428386592436514,0.22588537269550266,0.6156462585034014,0.6097560975609756,0.5357142857142857,0.5703422053231939,0.04962685080806949,accuracy,0.51,0.6156462585034014,0.6115702479338843,0.5285714285714286,0.5670498084291188,0.0
15,29,univariate_top_17__logreg_l2_c0.3_cwbalanced,univariate_top_17,univariate_top_k,logreg_l2_c0.3_cwbalanced,logreg_l2,0.6446670684151584,0.6614949091239712,0.2345945435788882,0.595475886418977,10,10,1,17.0,17,17,0.6494269756211121,0.015611701948311305,0.6561802034925415,0.23241008959514065,0.6099745752918062,0.0,0.6800092764378478,0.6424059256285172,0.22567780788287645,0.6156462585034014,0.593103448275862,0.6142857142857143,0.6035087719298246,0.03487425646711465,accuracy,0.52,0.6156462585034014,0.6062992125984252,0.55,0.5767790262172284,0.0
16,28,univariate_top_17__logreg_l2_c0.3_cwnone,univariate_top_17,univariate_top_k,logreg_l2_c0.3_cwnone,logreg_l2,0.6447254062260072,0.6614540680605002,0.2346107402899828,0.5909986372206839,10,10,1,17.0,17,17,0.6494655067437092,0.01548640178791372,0.6554263342930418,0.2320712908952547,0.6101737355059902,0.0,0.6797773654916512,0.6424840632787038,0.22576262480612821,0.6190476190476191,0.609375,0.5571428571428572,0.582089552238806,0.04925823247170803,accuracy,0.485,0.6122448979591837,0.5928571428571429,0.5928571428571429,0.5928571428571429,-0.006802721088435382
17,32,univariate_top_20__logreg_l2_c0.3_cwnone,univariate_top_20,univariate_top_k,logreg_l2_c0.3_cwnone,logreg_l2,0.642156380158504,0.6631137475900316,0.2352815901302148,0.6003859292281868,10,10,1,20.0,20,20,0.6475749801875028,0.014252499272546133,0.6563584305513157,0.23250426592703274,0.6087996455949767,0.0,0.6796846011131725,0.6422985389149015,0.22567198105732098,0.6190476190476191,0.609375,0.5571428571428572,0.582089552238806,0.05000923996724296,accuracy,0.495,0.6190476190476191,0.6076923076923076,0.5642857142857143,0.5851851851851851,0.0
18,5,block_budget_compact_11_univariate__logreg_l1_c0.1_cwnone,block_budget_compact_11_univariate,block_budget_top_k,logreg_l1_c0.1_cwnone,logreg_l1,0.6531492822657248,0.6548844648980227,0.2317925959756137,0.6102190311603862,10,10,1,11.0,11,11,0.6446395324881914,0.01574019331134809,0.6566913090275491,0.2326983737166076,0.6040856735621557,0.0,0.6788961038961039,0.641165768921798,0.2254808711022619,0.6292517006802721,0.6131386861313869,0.6,0.6064981949458483,0.04752826265843737,accuracy,0.505,0.6360544217687075,0.6222222222222222,0.6,0.610909090909091,0.006802721088435382
19,2,univariate_tilt_top_11__logreg_l1_c0.1_cwbalanced,univariate_tilt_top_11,rank_scheme_top_k,logreg_l1_c0.1_cwbalanced,logreg_l1,0.6534767132068973,0.6539921281836686,0.2313942285606695,0.6110258635992073,10,10,1,11.0,11,11,0.6502728353495885,0.014756743938547262,0.6552460564152546,0.23199990007216464,0.6062467737586192,0.0,0.6788033395176253,0.6422743605696802,0.22586002159957894,0.6224489795918368,0.6058394160583942,0.5928571428571429,0.5992779783393501,0.050698052032237824,accuracy,0.54,0.6258503401360545,0.6293103448275862,0.5214285714285715,0.5703125,0.003401360544217691
20,1,univariate_tilt_top_11__logreg_l1_c0.1_cwnone,univariate_tilt_top_11,rank_scheme_top_k,logreg_l1_c0.1_cwnone,logreg_l1,0.6536287326862762,0.6541993228122353,0.2315268311922736,0.6135521119875963,10,10,1,11.0,11,11,0.6502866483375961,0.014696356303452087,0.6543590159733537,0.23158986790562913,0.6080141762009323,0.0,0.6788033395176253,0.6422840966639053,0.22589724431357358,0.6292517006802721,0.6220472440944882,0.5642857142857143,0.5917602996254682,0.02138996434727366,accuracy,0.505,0.6224489795918368,0.616,0.55,0.5811320754716981,-0.006802721088435382
